,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.,Bitcoin_Price,Bitcoin_Vol.,Platinum_Price,Platinum_Vol.,Ethereum_Price,Ethereum_Vol.,S&P_500_Price,Nasdaq_100_Price,Nasdaq_100_Vol.,Apple_Price,Apple_Vol.,Tesla_Price,Tesla_Vol.,Microsoft_Price,Microsoft_Vol.,Silver_Price,Silver_Vol.,Google_Price,Google_Vol.,Nvidia_Price,Nvidia_Vol.,Berkshire_Price,Berkshire_Vol.,Netflix_Price,Netflix_Vol.,Amazon_Price,Amazon_Vol.,Meta_Price,Meta_Vol.,Gold_Price,Gold_Vol.
0,2/2/2024,2.079,,72.28,,3.8215,,"43,194.70",42650,901.6,,"2,309.28",246890,"4,958.61","17,642.73",315620000,185.85,102550000,187.91,110610000,411.22,28260000,22.796,,142.38,62500000,661.6,47660000,"5,89,498",10580,564.64,4030000,171.81,117220000,474.99,84710000,"2,053.70",
1,1/2/2024,2.05,161340,73.82,577940,3.8535,,"43,081.40",47690,922.3,,"2,304.28",323610,"4,906.19","17,344.71",240640000,186.86,53490000,188.86,90680000,403.78,29230000,23.236,85160,141.16,37120000,630.27,36020000,"5,81,600",9780,567.51,3150000,159.28,66360000,394.78,25140000,"2,071.10",260920
2,31-01-2024,2.1,142860,75.85,344490,3.906,,"42,580.50",56480,932.6,,"2,283.14",408790,"4,848.87","17,137.24",366450000,184.4,54830000,187.29,102270000,397.58,46780000,23.169,66910,140.1,71370000,615.27,45070000,"5,78,020",9720,564.11,4830000,155.2,49690000,390.14,20010000,"2,067.40",238370
3,30-01-2024,2.077,139750,77.82,347240,3.911,,"42,946.20",55130,931.7,,"2,343.11",387120,"4,924.97","17,476.71",236210000,188.04,55270000,191.59,105540000,408.59,29340000,23.225,53370,151.46,33060000,627.74,39600000,"5,84,680",9750,562.85,6120000,159,42290000,400.06,18610000,"2,050.90",214590
4,29-01-2024,2.49,3590,76.78,331930,3.879,,"43,299.80",45230,938.3,,"2,317.79",318840,"4,927.93","17,596.27",238750000,191.73,46890000,190.93,123600000,409.72,23290000,23.134,330,153.51,27590000,624.65,33900000,"5,78,800",13850,575.79,6880000,161.26,42840000,401.02,17790000,"2,034.90",1780
5,26-01-2024,2.712,73020,78.01,365460,3.852,,"41,811.30",69470,921.3,,"2,267.55",377790,"4,890.97","17,421.01",252940000,192.42,44590000,183.25,107340000,403.93,17800000,22.758,330,152.18,26120000,610.31,39030000,"5,82,300",10040,570.42,12770000,159.12,51050000,394.14,13160000,"2,026.60",410
6,25-01-2024,2.571,44980,77.36,320180,3.869,,"39,935.70",46300,894.5,,"2,217.71",344110,"4,894.16","17,516.99",288830000,194.17,54530000,182.63,198080000,404.87,20550000,22.814,160,151.87,28930000,616.17,47310000,"5,76,211",9350,562,9450000,157.75,43310000,393.18,15090000,"2,027.10",460
7,24-01-2024,2.641,65500,75.09,323730,3.886,,"40,086.00",58640,914.9,,"2,234.64",373250,"4,868.55","17,499.30",259360000,194.5,53460000,207.83,112940000,402.56,23280000,22.769,640,148.7,25160000,613.62,55710000,"5,70,977",9560,544.87,26350000,156.87,47640000,390.7,15700000,"2,025.40",800
8,23-01-2024,2.45,69160,74.37,306060,3.7935,,"39,888.80",82670,905.5,,"2,243.74",750520,"4,864.60","17,404.21",199930000,195.18,42200000,209.14,105840000,398.9,18230000,22.354,210,147.04,21190000,598.73,29120000,"5,64,133",8640,492.19,14190000,156.02,34930000,385.2,15450000,"2,035.20",370
9,22-01-2024,2.419,121580,75.19,28910,3.7635,,"39,556.40",85100,903,,"2,313.64",560840,"4,850.43","17,330.38",257760000,193.89,60130000,208.8,117950000,396.51,27020000,22.183,910,145.99,32200000,596.54,45300000,"5,58,316",11600,485.71,5210000,154.78,43690000,381.78,17490000,"2,031.50",330
10,19-01-2024,2.519,138430,73.41,78230,3.7865,,"41,648.00",72640,907,,"2,491.81",443420,"4,839.81","17,314.01",327070000,191.56,68900000,212.19,102260000,398.67,29330000,22.601,150,146.38,34270000,594.91,54350000,"5,56,710",8830,482.95,5670000,155.34,51650000,383.45,21670000,"2,038.50",300
11,18-01-2024,2.697,151820,74.08,86650,3.745,,"41,292.70",70350,912,,"2,469.77",467220,"4,780.94","16,982.29",264340000,188.63,77400000,211.88,107810000,393.87,21980000,22.699,240,143.48,25690000,571.07,48620000,"5,49,477",7820,485.31,4020000,153.5,37350000,376.13,15930000,"2,031.10",350
